net,length_um
_12332_,260.4
_10639_,260.26
_07106_,260.235
_07240_,260.04
_14091_,260.03
_12439_,259.98
_14374_,259.68
_05322_,259.64
_07189_,259.56
_10804_,259.48
_12340_,259.41
_05337_,259.38
_12673_,259.38
_04747_,259.33
_10034_,259.24
_11916_,259.21
_14369_,258.96
_10765_,258.92
_12677_,258.565
_07591_,258.56
_09177_,258.55
_08201_,258.52
u_cpu.pcpi_rs1\[22\],258.4
_05338_,258.32
_10668_,258.31
_05326_,258.26
_10421_,258.215
_04752_,258.2
_07254_,258.12
_12711_,257.98
_12785_,257.72
_14405_,257.695
_12901_,257.56
u_cpu.reg_pc\[15\],257.37
_14344_,257.26
_12667_,257.12
_13288_,257.12
_12878_,256.94
_13446_,256.94
_12737_,256.72
_05311_,256.44
_07192_,256.36
_14427_,256.34
_07273_,256.26
_07471_,256
_13299_,255.98
_05333_,255.8
_07206_,255.74
_05307_,255.62
_07207_,255.6
_13622_,255.425
_06413_,255.21
_07468_,255.08
_07648_,254.995
_14190_,254.93
_05308_,254.36
_06330_,254.3
_10787_,253.94
_12742_,253.92
_14442_,253.815
_10084_,253.67
_12408_,253.64
_14159_,253.54
_14254_,253.49
_05309_,252.78
_12672_,252.7
_14354_,252.52
_04771_,252.2
_07952_,252.16
_11057_,252.115
_10608_,252.07
net4962,252.03
_13265_,251.96
_13399_,251.695
_13617_,251.62
_12892_,251.42
u_cpu.reg_pc\[11\],251.34
_07948_,251.08
u_cpu.pcpi_rs1\[17\],250.96
_07110_,250.57
_11066_,250.54
_09581_,250.495
_07462_,250.4
_13276_,250.32
_12797_,250.09
_12911_,249.6
_13378_,249.355
cpu_mem_rdata\[23\],249.33
_12382_,249.32
_10017_,249.28
_12846_,249.16
_14132_,249.09
_04772_,249.06
_12470_,249.03
net4856,248.77
_07474_,248.68
_07972_,248.66
_11070_,248.44
_07083_,248.34
_13477_,248.06
_08172_,247.98
_14407_,247.98
_12458_,247.775
_14154_,247.685
_12597_,247.365
_12668_,247.22
_04773_,246.98
_07270_,246.97
_10172_,246.82
_05327_,246.3
_10672_,246.14
_10261_,245.835
net479,245.76
_11342_,245.63
_12523_,245.5
_09034_,245.48
_07950_,245.07
_12418_,244.99
u_cpu.decoded_imm_j\[1\],244.855
_14152_,244.85
_07567_,244.72
_14020_,244.49
net5150,244.45
_07190_,244.38
_12926_,244.29
_05741_,243.84
_14303_,243.73
_07966_,243.72
_12596_,243.655
_12740_,243.64
u_cpu.decoded_imm\[22\],243.625
u_cpu.decoded_imm\[27\],243.55
_13318_,243.5
_05935_,243.3
u_cpu.reg_pc\[16\],243.22
_11068_,243.06
_04308_,243.05
_13870_,243.05
_12488_,243
_14326_,242.81
_07267_,242.8
net4812,242.55
_13999_,242.35
_12798_,242.305
_05329_,242.28
_07188_,241.99
_08988_,241.86
_12347_,241.785
_12348_,241.7
_07467_,241.62
_07502_,241.58
_10610_,241.46
_10632_,241.455
_12924_,241.28
_12453_,241.18
_07612_,241.105
_14328_,241.02
_12790_,240.96
_07057_,240.89
_12498_,240.78
_12800_,240.76
_12809_,240.7
_13238_,240.7
_06338_,240.555
_06990_,240.38
_12344_,240.13
_04799_,240.105
_06219_,240.02
_12776_,239.8
u_cpu.reg_pc\[18\],239.8
_12416_,239.78
_06904_,239.745
_04744_,239.57
_10770_,239.48
_07097_,239.16
_13819_,238.82
_07266_,238.62
_12490_,238.58
_12487_,238.455
_08990_,238.44
_09013_,238.305
_13697_,238.11
u_cpu.decoded_imm\[21\],238.065
_07191_,237.88
_12394_,237.86
net5047,237.8
_12300_,237.78
_12499_,237.66
_12310_,237.55
_07249_,237.54
_05989_,237.51
_12492_,237.47
_07193_,237.265
_05317_,237.155
_00002_,237.02
_06411_,236.91
_07271_,236.89
_07769_,236.8
net4934,236.8
_07325_,236.73
_14092_,236.69
_08886_,236.68
_14341_,236.675
_14321_,236.59
_07268_,236.495
_12728_,236.28
_09046_,236.22
_07176_,236.18
_09189_,235.96
_12324_,235.945
_09199_,235.93
_12889_,235.81
_12130_,235.69
u_cpu.reg_pc\[13\],235.685
_12437_,235.68
net4964,235.43
_12801_,235.405
_07602_,235.39
_13748_,235.38
_05321_,235.34
_11841_,235.32
_06361_,235.31
_12660_,235.26
_12835_,235.16
_09968_,235.15
_07065_,235.11
_07626_,235.1
_13227_,235.1
_12336_,235.06
u_cpu.mem_la_wdata\[3\],235
_11732_,234.98
_04700_,234.68
_14388_,234.65
_12485_,234.62
_12802_,234.46
_10606_,234.4
_07728_,234.04
u_sram.aw_addr_r\[7\],233.9
_12351_,233.77
_13255_,233.73
_07128_,233.56
_07700_,233.48
_08927_,233.11
_14268_,233.11
_09184_,232.9
_12796_,232.76
_12371_,232.64
_12852_,232.58
_12777_,232.52
_12522_,232.46
u_cpu.decoded_imm\[23\],232.45
_08308_,232.3
u_cpu.mem_la_wdata\[5\],232.18
_10602_,232.16
_12466_,232.065
_12339_,232.05
_07872_,232.04
_12599_,231.98
_04703_,231.91
_05596_,231.825
_05953_,231.8
_07120_,231.73
_12126_,231.525
_05934_,231.515
_10767_,231.39
_12714_,231.38
_07962_,231.335
_07974_,231.185
_12482_,231.18
_12474_,231.09
_07659_,231.02
_07464_,231
_12398_,230.93
_06991_,230.86
_06859_,230.76
_06970_,230.76
_13059_,230.76
_10120_,230.66
_10714_,230.52
_12298_,230.36
_04474_,229.99
_06286_,229.785
_07635_,229.75
_07330_,229.735
_13287_,229.68
_13329_,229.64
_05835_,229.42
_13651_,229.38
_11050_,229.17
_08309_,229.08
_12299_,228.96
_13056_,228.92
_12302_,228.69
net5151,228.46
_04688_,228.43
_07480_,228.38
u_cpu.pcpi_rs2\[29\],228.35
u_cpu.reg_pc\[19\],228.26
_12895_,228.23
_10673_,228.22
_12779_,228.18
_13258_,228.12
_12879_,228.06
_12367_,227.94
net3546,227.825
_12793_,227.82
_05316_,227.72
_10909_,227.695
_14065_,227.625
_07744_,227.5
_12352_,227.16
u_cpu.pcpi_rs2\[28\],226.94
net4944,226.85
_12799_,226.82
_10605_,226.76
_13236_,226.68
_12598_,226.66
_07390_,226.32
u_cpu.decoded_imm_j\[4\],226.25
_12410_,226.16
_12494_,226.1
_12403_,226.06
_04704_,225.955
net4802,225.91
_09004_,225.37
_12877_,225.28
_13053_,225.28
u_cpu.reg_pc\[21\],224.98
_10077_,224.97
_12483_,224.8
_04807_,224.715
_12484_,224.57
_07242_,224.34
net5024,224.3
_13759_,224.27
_07265_,224.14
_07636_,224.06
_12478_,224.02
_12661_,223.96
_06329_,223.94
u_cpu.reg_pc\[10\],223.86
_13414_,223.64
u_cpu.pcpi_rs2\[24\],223.56
_11374_,223.4
_09186_,223.3
_04726_,223.22
net4973,223.21
_13760_,223.015
_12847_,222.9
_11204_,222.88
_13050_,222.76
_12301_,222.66
u_sram.aw_addr_r\[6\],222.505
_07160_,222.475
_07012_,222.255
_14014_,222.175
_14400_,221.94
_12781_,221.88
_05926_,221.755
_12806_,221.7
_06146_,221.68
_07817_,221.595
_08130_,221.54
_06333_,221.125
_11807_,220.99
_08314_,220.74
u_cpu.alu_out_q\[16\],220.47
_12760_,220.46
_07042_,220.42
_07143_,220.38
_12343_,220.315
cpu_mem_rdata\[9\],220.25
_10638_,220.19
_10629_,220.175
_07825_,220.16
cpu_mem_rdata\[31\],220.12
_06916_,220.06
_14593_,219.87
_07689_,219.84
_12557_,219.79
net3409,219.765
_13228_,219.69
_11025_,219.665
_12786_,219.47
_08320_,219.415
_06948_,219.4
_07000_,219.32
_12354_,219.2
_04571_,219.06
_06972_,219
_07414_,218.92
_12593_,218.9
_11177_,218.73
_06210_,218.6
_12356_,218.6
_09969_,218.58
_07911_,218.44
_04695_,218.42
_13626_,218.35
_06958_,218.34
_10397_,218.29
_09028_,218.12
_06894_,218.1
_12438_,218.04
net557,217.83
net992,217.81
_09170_,217.74
_12731_,217.66
_07312_,217.57
_13062_,217.44
_05325_,217.42
_12462_,217.41
u_cpu.decoded_imm_j\[2\],217.35
_12594_,217.16
_13683_,217.1
_12486_,217.02
_07723_,216.92
net4786,216.79
_13817_,216.74
_12476_,216.69
u_cpu.latched_store,216.65
_10607_,216.64
net2648,216.54
_12295_,216.42
_12659_,216.18
_08218_,216.16
_13899_,216.12
_12794_,215.79
_09197_,215.75
_10621_,215.6
_12622_,215.38
_12778_,215.31
_06950_,215.2
_13686_,215.2
_12696_,215.135
_07465_,215.09
_12739_,215.09
_13435_,215.09
_05328_,214.975
_12780_,214.9
_12495_,214.7
_12712_,214.7
_07137_,214.64
_04750_,214.58
net4718,214.57
_07943_,214.5
_07293_,214.46
_07220_,214.42
_12773_,214.335
_09043_,214.14
_13778_,214.1
_13420_,214.095
_06886_,214.06
_05843_,213.96
_05324_,213.88
_09194_,213.88
_13384_,213.755
_13482_,213.24
_06960_,213.21
_07311_,213.18
_12568_,213.04
_06149_,213.01
_10611_,212.91
_06530_,212.67
_08985_,212.51
_12335_,212.32
_12764_,212.1
_12058_,211.98
_07202_,211.87
_10854_,211.82
_13432_,211.75
_13839_,211.75
_07310_,211.6
_12658_,211.6
net3103,211.595
_12882_,211.43
_12480_,211.42
u_cpu.pcpi_rs2\[20\],211.39
_09168_,211.38
_13065_,211.32
_08895_,211.17
_06029_,211.03
_07135_,210.78
_13424_,210.76
_13883_,210.72
net4670,210.72
_07263_,210.58
_07783_,210.43
_05949_,210.34
u_cpu.reg_pc\[9\],210.31
_13746_,210.28
_13345_,210.215
_06939_,210.2
_07840_,210.17
_13696_,210.09
_07453_,210.075
_04736_,210.04
_07892_,210.02
_13044_,209.91
_12768_,209.82
_07056_,209.78
_06981_,209.74
_06893_,209.64
_12920_,209.54
_05320_,209.46
_04727_,209.44
net4646,209.4
net5010,209.28
_12782_,209.04
u_cpu.reg_pc\[8\],209.02
_12671_,208.8
_09165_,208.77
_12756_,208.74
_12669_,208.66
_12707_,208.48
_10609_,208.44
u_cpu.pcpi_rs2\[22\],208.44
_13388_,208.42
_09239_,208.38
_12496_,208.36
_13386_,208.165
_07244_,208.14
net1061,208.08
_09234_,207.975
_12922_,207.96
_12520_,207.89
_09975_,207.82
_09044_,207.71
_12555_,207.65
_14548_,207.64
u_cpu.alu_out_q\[19\],207.62
_12788_,207.5
_09187_,207.48
_04800_,207.285
_06360_,207.22
_12608_,206.965
_12664_,206.92
_06918_,206.64
_12698_,206.57
_07333_,206.56
_04581_,206.365
_12789_,206.35
_12657_,206.18
_12500_,206.17
_12501_,206.16
_07313_,206.14
net3924,205.92
_12509_,205.84
_10974_,205.78
_06867_,205.76
_07216_,205.695
net5142,205.66
_11054_,205.6
_04697_,205.555
_04731_,205.54
_05783_,205.525
_07565_,205.49
_07222_,205.48
_12561_,205.42
_06325_,205.34
_07073_,205.29
_04709_,205.24
_08875_,205.12
_05364_,205.06
clknet_leaf_158_clk,204.76
net1194,204.755
u_cpu.alu_out_q\[20\],204.53
_07269_,204.4
_10603_,204.39
_05319_,204.33
_06874_,204.3
u_cpu.pcpi_rs1\[25\],204.28
_06481_,204.18
